word,frequency
hard,1.0
things,0.8625873354416416
used,0.8625873354416416
losing interest,0.8625873354416416
find pleasure,0.8383319849966905
daily activities,0.8383319849966905
stay positive,0.8370522909465323
low,0.8361991615797603
days,0.7413400014709127
tired even,0.6488343016841951
feeling drained,0.6232404206810326
often,0.5989556519820549
much,0.5575200411855556
trouble,0.5492682209310877
seems,0.5489004927557549
keep finding,0.517055232771935
less,0.42341693020519233
struggling,0.3627711995293079
activities feeling,0.3107008899021843
enjoy feeling,0.30820033830992133
enjoy finding,0.2708244465690961
activities finding,0.2532470397881886
resting,0.24181804809884533
energy,0.2381407663455174
stress,0.21256159446936823
feel okay,0.21256159446936823
okay though,0.21256159446936823
though sometimes,0.21256159446936823
sometimes small,0.21256159446936823
small struggles,0.21256159446936823
struggles come,0.21256159446936823
low energy,0.21256159446936823
appetite,0.21134073692726338
usual,0.2096344781937192
hopeless,0.17945134956240347
often struggling,0.17809810987717878
positive sleeping,0.17600941384128851
feel struggling,0.17600941384128851
hopeless sleeping,0.17506802971243657
notice losing,0.17414135471059794
often losing,0.1728763697874531
feel losing,0.17150842097521513
positive waking,0.1685813046995661
hopeless waking,0.1666102816797823
notice struggling,0.16331543722880046
feeling worthless,0.15631389277046406
letting others,0.14725307053026404
little,0.14550268441567993
finding,0.14492902846216077
night,0.13600058836508053
sleep,0.1298227550194896
night feeling,0.11868794587041259
concentrate,0.1177024343605207
sleep feeling,0.11549606530852394
hopeless feeling,0.11339266014562036
difficult,0.11334853276458043
sleep tired,0.11226005736559536
little feeling,0.11133338236375671
positive feeling,0.10986246966242554
resting struggling,0.1051849672721924
night tired,0.10477311171581967
hopeless tired,0.10334632639552843
positive tired,0.10216959623446348
energy struggling,0.09937486210193425
little tired,0.0984334779730823
resting eating,0.08785761565051114
energy eating,0.0836802235787306
resting Recently,0.08247407516363904
energy Lately,0.07495771125983673
enjoy,0.07372214459071855
often feeling,0.07139810252261529
resting Lately,0.07100095609325587
energy Recently,0.06858865926307274
activities sleeping,0.06822093108773994
notice feeling,0.06730896521291461
usual Lately,0.06719129219680813
notice finding,0.0671618739427815
enjoy waking,0.06608810767080973
feel finding,0.06555857909833052
feel feeling,0.06451423108038538
activities waking,0.06410237552401266
enjoy sleeping,0.06311686401412077
speaking slowly,0.06298448187100096
often finding,0.06292564536294772
focus,0.06286680885489446
appetite Lately,0.06195484298006913
unable,0.05923365448260646
feeling restless,0.05923365448260646
sit still,0.05923365448260646
usual Recently,0.059027726704420094
tasks,0.058145179083621386
appetite Recently,0.05618886519085092
Lately,0.05308523939104214
little struggling,0.052511583437522984
waking,0.04995219533720674
night struggling,0.048849010811208356
little Recently,0.04820180922262264
Recently,0.04805471795248952
enjoy tired,0.04580422151945282
sleeping,0.045745385011399575
little Lately,0.045598293741266456
sleep struggling,0.0455247481061999
positive struggling,0.04481871000956093
sleep Recently,0.04384790762668236
night eating,0.04373023461057586
sleep Lately,0.04368610722953593
hopeless struggling,0.043068323894976834
sleep eating,0.04274472310068397
hopeless eating,0.0421563580201515
little eating,0.04139148341545929
activities tired,0.040891373097006696
night Recently,0.03968522468191513
night Lately,0.038758549680076484
appetite feeling,0.03618445245274693
positive eating,0.03505184967272192
usual feeling,0.03296315363683165
appetite thinking,0.03200706038096639
worthless Recently,0.02616753695668162
usual thinking,0.02429947782599103
energy feeling,0.023122747664926085
worthless Lately,0.022607928219460175
focus Recently,0.02232845480620725
resting feeling,0.02224020004412738
energy thinking,0.020945796866955947
tasks Recently,0.02040155916746341
resting thinking,0.019930867103037434
tasks Lately,0.01929837464146503
focus Lately,0.01854820916378613
feel sleeping,0.01731264249466794
notice,0.01722438773258807
activities eating,0.016827241303228654
notice waking,0.01645951312789586
enjoy eating,0.016253585349709495
feel waking,0.01597411193645657
enjoy struggling,0.015679929396190336
feel,0.014576744870191954
moving,0.01437081709200559
resting finding,0.01404721629771273
activities struggling,0.014003088916672795
feeling good,0.013679488122379936
good lately,0.013679488122379936
major difficulties,0.013679488122379936
wanting,0.013561815106273443
dark thoughts,0.013561815106273443
appetite finding,0.013135250422887402
slowly Lately,0.01304699566080753
worthless finding,0.012502757961314996
better,0.01212032065896889
thinking life,0.01212032065896889
life might,0.01212032065896889
usual finding,0.012090902404942266
appetite struggling,0.01204677502390233
notice sleeping,0.01204677502390233
worthless struggling,0.011679046848569538
still Lately,0.01153195557843642
usual struggling,0.011414282562329925
slowly Recently,0.011399573435316614
energy finding,0.010796499227770831
little thinking,0.010355225417371479
positive thinking,0.010252261528278296
sleep thinking,0.009560932558652644
often tired,0.009075531367213356
tasks feeling,0.008957858351106861
around,0.008781348826947121
tasks moving,0.008707803191880562
focus moving,0.008325365889534456
feel tired,0.008295947635507832
hopeless thinking,0.008090019857321468
still Recently,0.007737000809001986
night thinking,0.007486945649775686
notice tired,0.007266308744576009
night finding,0.007266308744576009
usual moving,0.0067956166801500335
sleep finding,0.006324924615724057
worthless moving,0.005457086121938663
appetite moving,0.005457086121938663
eating,0.0045157019930867105
resting moving,0.004280355960873722
little finding,0.004192101198793851
notice eating,0.0037067000073545634
energy moving,0.0036331543722880047
positive finding,0.003309553577995146
often eating,0.003236007942928587
worthless feeling,0.0031477531808487167
hopeless moving,0.0026770611164227405
enjoy thinking,0.0026182246083694934
night moving,0.0025299698462896225
feel eating,0.002265205560050011
around Recently,0.002191659924983452
tasks thinking,0.002191659924983452
hopeless finding,0.00208869603589027
slowly thinking,0.0020151504008237113
still thinking,0.0014562035743178642
focus thinking,0.0012796940501581232
around Lately,0.0011473119070383173
activities moving,0.0004706920644259763
feel thinking,0.00027947341325292344
enjoy moving,0.00027947341325292344
hopeless Lately,0.0002500551592262999
notice thinking,0.0001470912701331176
